record_number,keyword,frequency
7198,build in,8
7198,entire unit,21
7199,minor renovation,28
7199,tatte bakery,6
7199,update furniture,2
7199,counter,12
7199,fire alarm,348
7199,seat count,5
7199,tatte bakery,6
7199,fire alarm,348
7199,friportection work,1
7199,work required,2
7199,seat count,5
7200,retail space,8
7201,replace walls,6
7201,second flooe,1
7202,selective demolition,70
7202,interior office,10
7202,toilet room fixture,2
7202,scopeof work,4
7202,scopeof work,4
7203,structural change,561
7203,site id,477
7203,air sealing,782
7203,site id,477
7204,repair aluminum gutters,1
7204,replace rotted facia gutters boards,1
7204,repair slate roof,1
7204,home,23
7204,left entrance,1
7204,rear area,2
7204,deck,32
7204,azek facia board,2
7204,fiberglass gutter,3
7204,profile,2
7204,wood gutter,9
7204,rubber roof,46
7204,downspout,1
7204,fiberglass gutter,3
7204,wood gutter,9
7204,rubber roof,46
7205,16 unit,1
7205,complete renovation,50
7205,new electrical,4
7205,spinkler system,2
7205,exist entry,1
7205,lee st,2
7205,unit apartment,1
7205,apartment building,3
7205,fire alarm,348
7205,spinkler system,2
7205,lee st,2
7205,roof deck,57
7206,repair - re,1
7206,repair rot,4
7206,rear deck,25
7206,change,120
7206,rot repair,1
7207,kitchen cabinets,21
7208,install door seeps kits,1
7208,install hatch,1
7208,install door kits,1
7208,install sweeps,1
7208,1- air,1
7208,door2- air sealing,1
7208,temp access,2
7208,kneewall slope,17
7208,transition air sealing,3
7208,temp access,2
7209,build dorm,3
7209,replace selective demolition,2
7209,replace fixtures cabinets,5
7209,repair gutter,6
7209,bathroom renovation,251
7209,space,40
7209,door replacement,16
7209,gutter repair,7
7209,exist skylight,33
7209,building,153
7209,construction activity,6
7209,bathroom renovation,251
7209,door replacement,16
7209,gutter repair,7
7209,construction activity,6
7210,mass save insulation,14
7210,air sealing,782
7210,structural changes,54
7210,air sealing,782
7210,structural changes,54
7211,exist restaurant,8
7211,plan,51
7211,bbq chicken,1
7211,chicken restaurant,1
7212,10 phillips,1
7212,fire protection upgrade,1
7212,mechanical screen,1
7212,central plant loop,1
7212,permit application,48
7212,sherrill hall-,1
7212,phillips place,1
7212,washburn hall,3
7212,hall permit,1
7212,permit application,48
7213,replace panel antennas,4
7213,replace rrh,1
7213,applicant,3
7213,rooftop,7
7213,building,153
7213,support equipment,3
7213,new antenna,7
7213,location,79
7213,exiting antenna,2
7213,color,2
7213,facade,12
7213,exiting antenna,2
7214,interior demolition,131
7215,unfinished basement,6
7215,habitable area,1
7215,egress window,26
7215,window well,20
7216,remove carpet,11
7216,remove vinyl tiles tile,1
7216,440 mass,1
7216,16 apartment unit,1
7216,gut kitchen,9
7216,exterior wall,166
7216,kitchen pantry,7
7216,laundry closet,8
7216,stud,25
7216,structural member,1
7216,selective demolition,70
7216,drop ceiling,20
7216,apartment hallway,4
7216,bedroom ceiling,4
7216,bedroom wall,13
7216,hallway wall,2
7216,hardwood floor,36
7216,staircase,9
7216,ceramic tile,11
7216,debris,18
7216,common space,1
7216,demolition scope,4
7216,mass ave,12
7216,gut kitchen,9
7216,kitchen pantry,7
7216,drop ceiling,20
7216,apartment hallway,4
7216,bedroom wall,13
7216,hallway wall,2
7217,21 replacement window,3
7218,remove skylight installation,1
7218,remove replacement,3
7218,remove skylights,4
7218,remove unit,4
7218,1 unit,6
7218,exist skylight,33
7218,attached contract,1
7218,detail,16
7219,4th floor,96
7219,4th floor,96
7219,floor lab,24
7220,repair facade,2
7220,limited facade repair,1
7220,water infiltration,12
7220,water infiltration,12
7221,4th floor,96
7221,2 floor,2
7221,water damage,90
7221,3rd floor bedroom,3
7221,floor garage,3
7221,water damage,90
7221,floor office,37
7221,office closet,1
7221,floor dining,4
7221,dining room,113
7221,floor garage,3
7222,install new conditioning system,1
7222,install misc cosmetic upgrades,1
7222,2 bathrooms,47
7222,gut renovation,124
7222,kitchen,106
7222,gut renovation,124
7222,air conditioning,14
7223,2 footings,4
7223,lally column,16
7223,minor task,1
7224,replace lights,5
7224,install backsplash cabinets tile,1
7224,install light rail,1
7224,install install paint apliances,1
7224,kitchen renovation,172
7224,remove cabinet,5
7224,garbage disposal,11
7224,water line,16
7224,recess light,11
7224,vent range hood,1
7224,outside,9
7224,backsplash tile,5
7224,install cabinet,16
7224,kitchen renovation,172
7224,garbage disposal,11
7224,water line,16
7224,undercabinet led,1
7224,led light,6
7224,backsplash tile,5
7224,install cabinet,16
7224,install apliance,1
7225,insulation work,599
7225,insulation work,599
7225,save program,353
7226,2 family,35
7226,gut renovation,124
7226,family house,25
7227,closet,38
7227,exist livingroom space,1
7227,floor bathroom,156
7227,bathroom renovation,251
7228,install vanity backsplash,1
7228,install tile,27
7228,install vinyl pan,1
7228,new vanity countertop,1
7228,bathroom renovation,251
7228,install tile,27
7229,build future tenant,1
7229,4th floor-,2
7229,interior demolition,131
7229,spacon 4th,1
7229,4th floor-,2
7230,small office renovation,1
7230,new carpet,26
7230,new ceiling tile,5
7231,remove mep,1
7231,interior demo,88
7231,fixture,13
7231,load,4
7231,entire exterior envelope,1
7231,interior demo,88
7232,construct rear deck deck,1
7232,roof deck,57
7232,roof deck,57
7233,storey porch,2
7233,exist roof,29
7233,storey porch,2
7234,replace number interior remodeling,1
7234,replace kitchen,16
7234,replace windows,238
7234,replace insulation foam,1
7234,install drywall,10
7234,build work plumber,1
7234,build ramp,1
7234,build deck12x30,1
7234,2 interior,4
7234,4 windows,46
7234,new cabinet,93
7234,barthroom renovation,2
7234,exterior wall,166
7234,stair,24
7234,eletric work plumber,1
7234,build plan,2
7234,apartment number,1
7234,barthroom renovation,2
7234,build plan,2
7235,replace door unit,1
7235,direct replacement,12
7235,structural change,561
7235,job debris,4
7235,patio door,83
7235,job debris,4
7236,structural change,561
7236,site id,477
7236,air sealing,782
7236,site id,477
7237,replace siding,26
7237,replace details,1
7237,replace repair repair shed -replace,1
7237,repair entrance,1
7237,repair repair side repair side decks,1
7237,repair fence,4
7237,repair skylights,1
7237,2 existing,55
7237,roof membrane,13
7237,membrane -replace,1
7238,interior renovation,326
7238,live unit,55
7238,attach plan,81
7238,new finish,171
7238,interior partition,105
7238,unit 17a-24,1
7239,5TH floor,3
7239,exist lab area,2
7239,5th floor,74
7239,exist interior partitions,7
7239,mep fp,18
7239,new construction,25
7239,new laboratory equipment,8
7239,laboratory space,31
7239,distribution,6
7239,new layout,74
7239,project includes,1
7239,includes minimal,1
7239,minimal demolition,14
7239,laboratory space,31
7239,building systems,7
7239,life safety,58
7239,safety code,12
7240,selective demolition,70
7240,wall section,4
7241,dense pack,20
7241,pack cellulose,35
7241,cellulose insulation,100
7243,renovate master suite,1
7243,adjacent bedroom,1
7243,bathroom,187
7244,interior demolition,131
7244,attached plan,3
7244,new roof,42
7244,new siding,45
7244,new window,165
7244,exterior renovation,14
7245,mass save weatherization,20
7246,install door,36
7246,electrical panel,12
7246,hvac system,72
7247,4351098 site,1
7247,structural change,561
7247,air sealing,782
7247,site id,477
7248,structural changes,54
7248,residential weatherization,27
7248,air sealing,782
7248,mass save,368
7248,save program,353
7248,structural changes,54
7249,renovation,81
7249,small modification,2
7249,layout,31
7249,new kitchen,122
7249,hvac system,72
7249,exist structure,35
7249,family building,8
7249,hvac system,72
7250,remove scope,2
7250,remove kitchen tile cabinets,1
7250,remove bathroom walls ceiling,1
7250,install ½,2
7250,remove kitchen walls wallpaper,1
7250,install cabinets,2
7250,replace bathroom swing door,1
7250,replace hardware,4
7250,install new flat casings,1
7250,build built walls ins,1
7250,install oak sand flooring,1
7250,install install hardware,1
7250,demo kitchen ceiling,1
7250,kitchen cabinet,188
7250,floor tile,47
7250,exist interior trim,1
7250,demo bathroom ceiling,1
7250,new wall,68
7250,wire kitchen,3
7250,lighting plan,5
7250,bathroom exterior wall,2
7250,kitchen wallpaper,2
7250,patch wall,14
7250,bathroom door,10
7250,exist kitchen door,1
7250,window opening,19
7250,build in,8
7250,tile shower wall,1
7250,bathroom floor,35
7250,3.25 oak flooring,1
7250,coat,7
7250,new work,22
7250,benjamin moore,5
7250,kitchen cabinet,188
7250,floor tile,47
7250,wire kitchen,3
7250,lighting plan,5
7250,kitchen wallpaper,2
7250,patch wall,14
7250,bathroom door,10
7250,window opening,19
7250,entry door,113
7250,bathroom floor,35
7250,benjamin moore,5
7250,hood vent,4
7250,set appliance,1
7251,cellulose insulation,100
7251,exterior wall,166
7251,cellulose insulation,100
7252,exist kitchenremodel,1
7252,exist 1st floor,4
7252,basement floor,34
7252,interior painting,18
7253,exist permit,5
7253,addition,32
7253,exist footprint,31
7254,replace patio door,1
7254,1 patio,39
7254,structural alteration,6
7255,3 units,12
7255,partial gut,3
7256,replace flooring,5
7256,bathroom,187
7256,location,79
7256,unit,75
7256,electrical system,14
7256,exist layout,16
7256,work,113
7257,5th floor,74
7257,conference area,4
7257,new finish,171
7257,floor space,26
7257,electronics lab,1
7257,lab space,108
7257,conference area,4
7258,build corrugated metal roof,1
7258,replace portions,2
7258,56 corrugated,1
7258,54 feet,1
7258,54 foot,1
7258,remainder,5
7258,section,17
7259,remove ridge vents,1
7259,5 old,2
7259,new velux skylight,1
7259,size,61
7259,skylight opening,2
7259,baffle ridge vent,1
7259,roof skylight,1
7259,rubber membrane,11
7259,membrane portion,1
7259,skylight opening,2
7259,opening wil,1
7259,mesh ridge,1
7259,roof peak,1
7259,roofing nail,2
7260,remove trim siding,1
7260,replace plaza waterproofing,1
7260,replace epdm roofing roof,1
7260,project,176
7260,exist siding,13
7260,new everlast,1
7260,exist window,123
7260,metal conical roofing,1
7260,pvc trim,15
7262,install bath fitter,1
7262,fitter install,1
7263,remove tile,9
7263,replace toilet shower,1
7263,replace water heater,2
7263,remodel kitchen,91
7263,change countertop,1
7263,new appliances.paint renovate,1
7263,new supply line,3
7263,exist tile,11
7263,tub shower,4
7263,bath wall,5
7263,new tub,27
7263,bath floor,11
7263,washing machine,5
7263,electric panel,3
7263,bath wall,5
7263,heat mat,1
7263,shower wall,19
7263,bath floor,11
7263,washing machine,5
7264,replace deck,30
7264,rot footing,1
7264,replace deck,30
7265,renovate kitchen,106
7265,half bath,75
7265,half bath,75
7266,kitchen remodel,97
7266,half bath,75
7266,kitchen remodel,97
7267,1 site,8
7267,14714847 unit,1
7267,2 site,6
7267,15666925 unit,1
7267,3 site,2
7267,structural change,561
7267,air sealing,782
7267,site id,477
7268,2 alteration,13
7268,level alteration,13
7268,adjacent area,5
7268,adjacent area,5
7268,toequipment replacement,2
7268,infrastructure upgrades,4
7269,replace window units,2
7269,8 existing,6
7269,4th floor,96
7269,4th floor,96
7270,remove windows,62
7270,3 existing,23
7270,3 new,31
7270,exist window,123
7270,structural work,326
7270,replacement window,270
7271,mass save weatherization,20
7272,common area,18
7272,business office,1
7272,office area,40
7273,install electrical floor boxes,1
7273,1280 sq,1
7273,4 electrical,1
7273,receptical,1
7273,rework storage closet,1
7273,sq ft,13
7273,conference room,107
7273,replace carpet,14
7273,carpet prime,1
7273,wall panel,4
7274,insulation weatherization,24
7274,mass save program,25
7274,insulation weatherization,24
7275,replace 15’ft beams sections,1
7275,install new lvl beams,1
7275,replace columns,8
7275,remove header,1
7275,2 footings,4
7275,15 ft,2
7275,2 new,66
7275,2 columns,3
7275,5 new,13
7275,install temporary support,1
7275,excavate footing,1
7275,reinforce concrete,1
7275,11 beam section,1
7275,exist beam,3
7275,floor joist,28
7275,pocket,1
7275,new beam,6
7275,floor opening,6
7275,building,153
7275,4x6 psl post,1
7275,structural engineer specification,1
7275,debris,18
7275,ft length,1
7275,floor joist,28
7275,engineer design,5
7275,column cap,1
7275,floor opening,6
7275,lvl header,1
7276,structural change,561
7276,site id,477
7276,air sealing,782
7276,site id,477
7277,structural change,561
7277,air sealing,782
7278,structural change,561
7278,site id,477
7278,air sealing,782
7278,site id,477
7279,replace accesories hardware,1
7279,newly purchase home,1
7279,bath remodel,18
7279,kitchen remodel,97
7279,refinish floor,19
7279,storage closet,14
7279,bath remodel,18
7279,kitchen remodel,97
7279,storage closet,14
7280,replace roofing membrane,1
7280,replace wood gutter,4
7280,replace lights,5
7280,advantech composite decking,1
7280,roof membrane,13
7280,recess light,11
7280,wood trim,15
7280,paint finish,9
7280,wood trim,15
7280,paint finish,9
7281,5 skylight,2
7281,skylight window,2
7281,existent home,1
7281,roof deck,57
7281,rear,35
7281,house,109
7281,plans installation,1
7281,skylight window,2
7281,asphalt shingle,12
7281,shingle replacement,1
7281,roof deck,57
7282,exist bathroom,147
7285,work,113
7285,selective demo,47
7285,partition wall,94
7286,repair footprint,1
7286,replace bulkhead,2
7286,replace general,1
7286,replace exterior repairs,2
7286,replace water table,1
7286,repair work,13
7286,new gutter,3
7286,wood gutter,9
7286,repair work,13
7286,wood gutter,9
7287,replace siding,26
7287,deck area,5
7288,maab compliance work,1
7288,new sink,23
7288,new door,98
7288,grab bar,4
7289,install door,36
7289,install door,36
7290,1 entry,20
7290,entry door,113
7290,entry door,113
7291,interior renovation,326
7291,select area,9
7291,new ceiling,27
7291,wall finish,16
7291,plumbing fixture,94
7291,new basement stair,2
7291,new interior wall,9
7291,wall opening,8
7291,exist heating,1
7291,exist electrical wiring,1
7291,code requirement,16
7291,new insulation,26
7291,exterior wall,166
7291,wall finish,16
7291,plumbing fixture,94
7291,wall opening,8
7291,light fixture,49
7291,co system,3
7291,battery backup,2
7291,code requirement,16
7292,cast stone element,1
7293,repair partial gutter wood gutters,1
7293,repair gutter liner,1
7293,gutter replacement,2
7293,liner repair,1
7294,interior renovation,326
7294,live unit,55
7294,attach plan,81
7294,new finish,171
7294,interior partition,105
7295,replace windows,238
7295,direct replacement,12
7295,structural change,561
7295,job debris,4
7295,job debris,4
7296,replace windows,238
7296,kitchen,106
7297,1st floor,343
7297,1st floor,343
7297,harvard university,10
7297,fire protection,225
7297,fire alarm,348
7297,harvard university,10
7297,fire protection,225
7297,fire alarm,348
7298,replace section,8
7298,3 10,1
7298,4'x15 extension,1
7298,support extension,2
7298,deep concrete pier,1
7298,entryway,1
7298,repair retainer wall,1
7298,12 section,1
7298,concrete walkway,1
7298,support extension,2
7299,3- legalize,2
7299,bathroom,187
7299,interior work,16
7299,previous contractor,4
7299,3- legalize,2
7300,repair deck,14
7300,remove boards railings,2
7300,install new roof insulation,1
7300,install new deck boards frame,1
7300,deck repair,24
7300,exist railing,13
7300,exist decking board,4
7300,exist frame,6
7300,exist rubber,1
7300,new taper insulation,1
7300,new rubber roof,6
7300,new decking board,4
7300,deck repair,24
7300,deck frame,6
7301,remove free standing tub,1
7301,half bath,75
7301,new tile floor,17
7301,new toilet,18
7301,exisitng location,2
7301,steam shower,5
7301,half bath,75
7301,steam shower,5
7302,build demo deck,1
7302,build new mudroom,3
7303,30 9/16,2
7303,38 3/8,1
7303,skylight replacement,23
7303,velux deck,5
7303,skylight replacement,23
7303,velux deck,5
7303,deck mounted,2
7303,mounted fs,2
7303,fs m04,1
7303,m04 fixed,1
7304,construct floor dormer,2
7304,2nd floor,378
7304,improved ceiling height,1
7304,adjacent street,1
7305,replace tub shower,3
7305,wall system,6
7305,acrylic shower,4
7305,shower pan,7
7305,wall system,6
7306,remove windows,62
7306,14 existing,4
7306,14 new,6
7306,exist window,123
7306,structural work,326
7306,replacement window,270
7307,4 feet,5
7307,6 feet,7
7307,61 1/2,1
7307,15 feet,3
7307,wood guard,2
7307,dimension,18
7307,previously exist guard,1
7307,new design,6
7307,section,17
7307,attach plan,81
7307,total length,1
7307,deck,32
7307,15 foot,4
7307,wood guard,2
7307,box type,1
7309,replace removed trim door,1
7309,repair area,5
7309,bedroom area,6
7309,work,113
7309,damage,4
7309,framinginsulation insulation,2
7309,new sound clip,1
7309,metal hat track,1
7309,plastering expose ceiling,1
7309,skim coat plasterpaint,1
7309,new surfacesinterior,1
7309,removed door,2
7309,floor kitchen,47
7309,new cabinet,93
7309,repair area,5
7309,bedroom area,6
7309,framinginsulation insulation,2
7309,fire code,5
7309,code blue,1
7309,blue board,44
7309,door trim,7
7309,floor kitchen,47
7311,structural change,561
7311,site id,477
7311,air sealing,782
7311,site id,477
7312,2 separate,1
7312,selective interior demolition,11
7312,struc.steel support,6
7312,separate tenant,2
7312,hvac system,72
7312,fire suppresion,2
7312,electrical modification,3
7312,new area,6
7312,new layout incl,1
7312,conference room,107
7312,ph neutraliation system,1
7312,nw portion,2
7312,new tenant,37
7312,remedial work,3
7312,masonry facade,5
7312,struc.steel support,6
7312,hvac equip,3
7312,hvac system,72
7312,fire suppresion,2
7312,plumbing system,15
7312,conference room,107
7312,office partion,1
7312,nw portion,2
7312,bldg .,2
7312,tenant layout,1
7312,masonry facade,5
7313,interior demo,88
7313,building permit,61
7313,building permit,61
7314,affected drywall ceiling,1
7314,removing affected,1
7314,door trim,7
7314,window trim,21
7314,sprinkler pipe,4
7314,pipe freeze,1
7315,rooftop air,3
7315,air conditioner,4
7315,conditioner replacement,2
7316,replace front entry porch,1
7316,replace grey wood decking,1
7316,install new decking railings grey,1
7316,decking grey,1
7316,riser pvc,1
7316,pvc board,6
7316,board paint,1
7316,paint railing,1
7317,structural change,561
7317,site id,477
7317,air sealing,782
7317,site id,477
7318,install new wiring power,3
7318,conference room,107
7318,building,153
7318,new power,6
7318,low voltage wiring,3
7318,conference room,107
7318,finish upgrade,11
7318,fire alarm,348
7318,sprinkler work,55
7319,mass save insulation,14
7319,structural changes,54
7319,structural changes,54
7320,remove exisitng,4
7320,remove decker porches,1
7320,3 decker,1
7320,composite decking,11
7321,floor bathroom,156
7321,bathroom dumpster,1
7321,dumpster permit,1
7322,install generator,1
7323,structural change,561
7323,site id,477
7323,air sealing,782
7323,site id,477
7324,1 site,8
7324,structural change,561
7324,air sealing,782
7324,site id,477
7325,storage area,28
7325,new finish,171
7325,work area,35
7325,new concrete pad,1
7325,condenser unit,4
7325,air conditioning,14
7325,conditioning system,4
7325,storage area,28
7325,work area,35
7325,condenser unit,4
7326,11 replacement window,6
7327,remove replace,22
7327,remove same size like windows,3
7327,size windows,18
7327,size windows,18
7328,remove wall board,1
7328,23rd floor,4
7328,1 inch,2
7328,5/8 wall,1
7328,fire sprinkler leak,1
7328,23rd floor,4
7328,15th,1
7328,reinstall wall board,1
7328,egress stairwell,4
7328,center,4
7328,building,153
7328,construction,15
7328,demisng wall,2
7328,egress stairwell,4
7328,ofdouble 5/8s,1
7328,inch shaft,1
7328,shaft board,1
7328,demisng wall,2
7329,kitchen wall,13
7329,new plaster,3
7329,sheet rock,29
7329,kitchen wall,13
7329,sheet rock,29
7330,install tub,6
7330,plumbing,28
7330,location,79
7330,new electrical device,2
7330,new tile flooring,1
7330,tile wall,11
7330,bathroom sink,1
7330,install tub,6
7330,tile wall,11
7331,1st floor,343
7331,new tenant,37
7331,landlord work,4
7331,floor level,15
7332,minimal insulation work,1
7332,rim joist,40
7332,rim joist,40
7333,remove front landing stairs,1
7333,exist stair,30
7333,exact duplicate,1
7333,new material,7
7334,complete renovation,50
7334,exist suite,4
7334,new location,8
7334,non load,29
7334,interior partition,105
7334,new electrical,4
7334,fire protection,225
7335,renovate kitchen,106
7335,level bathroom,3
7335,small addition,7
7335,property,31
7335,level bathroom,3
7336,remove offices,4
7336,kitchenette,4
7336,minor plumbing,5
7336,architectural finishes,14
7336,- work,8
7336,minor demo,18
7336,minor hvac,4
7336,hvac modification,6
7336,minor sprinkler,1
7336,sprinkler relocation,7
7336,minor plumbing,5
7336,architectural finishes,14
7337,bathroom renovation,251
7337,bathroom renovation,251
7338,entire property,2
7338,interior wall,55
7338,window,52
7338,sheathing.*remove,1
7338,exist chimney,16
7339,stud,25
7339,complete reno,1
7339,house,109
7339,demo permit,18
7340,insulation work,599
7340,insulation work,599
7340,mass save,368
7340,save program,353
7341,structural change,561
7341,site id,477
7341,air sealing,782
7341,site id,477
7342,2 level,4
7342,interior renovation,326
7342,exist floor slab,2
7342,new finish,171
7342,level space,4
7342,boston sports,1
7342,sports club,1
7342,drop ceiling,20
7342,fa system,12
7343,single family dwelling,3
7343,interior renovation,326
7343,second floor,157
7344,structural change,561
7344,site id,477
7344,air sealing,782
7344,site id,477
7345,replace damaged angle,1
7345,masonry joints.removing,2
7345,masonry joints.removing,2
7346,kitchen,106
7346,bathroom,187
7346,basement,92
7346,deck,32
7347,interior renovation,326
7347,blue board,44
7347,new door,98
7347,finish floor,6
7347,new cabinet,93
7347,seperate approval,1
7347,deck,32
7347,blue board,44
7347,ground level,47
7348,structural change,561
7348,site id,477
7348,air sealing,782
7348,site id,477
7349,7 replacement,7
7349,replacement window,270
7349,replacement window,270
7350,work order,6
7351,maintenance replacement,2
7351,hvac systems,2
7351,maintenance replacement,2
7351,hvac systems,2
7352,remove door windows,5
7352,install rails balusters,1
7352,replace decking,8
7352,repair staircase,1
7352,2nd staircase,2
7352,porch,76
7352,2nd staircase,2
7352,exist staircase,9
7352,install trelli,2
7352,deck extension,2
7352,install trelli,2
7352,deck extension,2
7352,plant climbing,1
7352,climbing structure,1
7353,install new roof window,1
7354,exist office space,55
7355,vinyl window,32
7355,12 vinyl,1
7355,vinyl replacement,31
7355,replacement window,270
7356,cosmetic improvement,4
7356,outside seating,1
7356,mass ave,12
7356,mass ave,12
7357,2 alteration,13
7357,level alteration,13
7358,interior gut demolition,2
7359,bathroom,187
7360,build new stairs,2
7360,build stair landing roof,1
7360,masonry stair,3
7361,insulate wall,25
7361,attic floor,38
7361,air sealing,782
7361,kneewall floor,6
7362,exist bathroom,147
7362,install tile,27
7362,paint wall,54
7363,structural change,561
7363,site id,477
7363,air sealing,782
7363,site id,477
7364,windows replacement,12
7364,windows replacement,12
7365,install kitchen trims cabinets,1
7365,install new hardwood floor,4
7365,install - painting intire unit,1
7365,replace windowns,1
7365,13 windowns,1
7365,renovation.remove kitchen cabinet,1
7365,kitchen floor,17
7365,exist hardwood floor,13
7365,half bathroom,52
7365,plan    structure,1
7365,lvl headeer,2
7365,laundry room,47
7365,door trim,7
7365,kitchen floor,17
7365,half bathroom,52
7365,lvl headeer,2
7365,separte permit,1
7366,installation,31
7366,new interior,5
7366,new skylight,18
7366,interior painting,18
7366,kitchen remodel,97
7367,remove floor bath kitchen,1
7367,remove floor walls,2
7367,install closet coat,1
7367,install new master bathroom,2
7367,install floor closet laundry,1
7367,install new closets,1
7367,replace windows,238
7367,2nd floor,378
7367,2 separation,2
7367,3 new,31
7367,3 windows,42
7367,half bath,75
7367,linen closet,6
7367,3rd floor bathroom,11
7367,2nd floor,378
7367,floor kitchen,47
7367,half bath,75
7367,linen closet,6
7367,floor entry,4
7367,entry hall,4
7368,remove tub shower,3
7368,exist bathroom,147
7369,20 sash replacement,1
7369,houghton library,2
7369,houghton library,2
7370,interior demo,88
7371,wood wall,11
7371,wood flooring,6
7371,non structural framing,2
7371,wood flooring,6
7371,ceiling plaster,5
7372,bathroom,187
7373,bathroom renovation,251
7373,renovation unit,3
7373,unit #,7
7374,2 existing,55
7374,"approximately 19,595 sf",1
7374,second floor,157
7374,700 main street,1
7374,property,31
7374,adjancent multistory,1
7374,multistory buildings,1
7374,firewall novartis,1
7375,work order,6
7375,mass save,368
7375,save weatherization,7
7375,weatherization work,10
7375,work order,6
7376,construct addition,4
7376,1 story,9
7376,story sunroom,4
7376,story sunroom,4
7377,remove interior partition wall,1
7377,small space,2
7377,handicapped restroom,1
7377,ground floor,65
7378,replace doors,20
7378,partial gut renovation,3
7378,laundry closet,8
7379,install marvin,1
7380,remove doors,8
7380,install new doors,11
7380,install new opening,1
7380,3 doors,4
7380,4 new,30
7380,1 new,37
7380,new drywall,18
7380,sprinkler,10
7380,fire alarm,348
7380,space,40
7380,new drywall,18
7380,fire alarm,348
7380,alarm work,17
7382,structural change,561
7382,site id,477
7382,air sealing,782
7382,site id,477
7383,1 site,8
7383,14510183 unit,2
7383,2 site,6
7383,structural change,561
7383,14510183 unit,2
7383,air sealing,782
7384,8157519 site,2
7384,6614500 site,2
7384,structural change,561
7384,8157519 site,2
7384,6614500 site,2
7384,air sealing,782
7385,entry step,6
7385,foot print,24
7385,entry step,6
7385,foot print,24
7386,build install,4
7386,wood floor,62
7386,half bath,75
7386,entry area,2
7386,guest bedroom,15
7386,wood floor,62
7386,select area,9
7386,electrical service,5
7386,roof house,2
7386,affected area,5
7386,half bath,75
7386,entry area,2
7386,guest bedroom,15
7386,wood floor,62
7386,heat pump,14
7386,pump hvac,2
7386,hvac system,72
7386,roof house,2
7387,replace lvt floor,1
7387,new kitchen equipment,4
7387,associated hvac,2
7387,fire alarm,348
7387,fire protection,225
7387,additioan,1
7387,split system,6
7387,hvac.other misc work,1
7387,drywall patching,4
7387,kitchen fit,2
7387,exisitng conference,1
7387,conference room,107
7387,room conversion,1
7387,kitchen extension,2
7387,fire alarm,348
7387,fire protection,225
7387,protection work,17
7387,system hvac.other,1
7387,drywall patching,4
7388,waterproofing repairs,17
7388,waterproofing repairs,17
7389,fiberglass batting,18
7389,open blow,7
7389,blow cellulose,8
7389,attic slope,6
7389,dense pack,20
7389,pack cellulose,35
7389,kneewall slope,17
7389,fiberglas batting,1
7389,thermal barrier,10
7389,barrier polyiso,13
7389,kneewall wall,3
7389,fiberglass batting,18
7389,kneewall gable,9
7389,gable wall,4
7389,dense pace,1
7389,pace cellulose,1
7390,construct new stair,2
7390,exist porch,38
7391,install velux,2
7391,install velux,2
7391,velux cabrio,1
7391,cabrio roof,1
7391,roof window,1
7392,exist roof,29
7392,exist deck,89
7392,building permit,61
7393,build basement:•,1
7393,build full bathroom•,1
7393,build wet bar,1
7393,build window•,1
7393,build new back door,1
7393,build backyard•,1
7393,build new landing area,1
7393,remove unit 2nd fire,1
7393,remove exit:•,1
7393,2nd floor,378
7393,5’Modify 2nd,1
7393,30 staircase,2
7393,32 fire,1
7393,1st floor unit,2
7393,2nd floor,378
7393,architect drawing,6
7393,finish section,1
7393,basement:• build,2
7393,install washer,15
7393,convert exist door,1
7393,exist exit,1
7393,30 staircase,2
7393,left,22
7393,right,30
7393,renovation work,17
7393,work order,6
7393,architect drawing,6
7393,basement:• build,2
7393,bathroom• build,1
7393,bar counter•,1
7393,counter• install,1
7393,install washer,15
7393,hookups• rebuild,1
7393,rebuild exit,1
7393,exit staircase,1
7393,backyard• install,1
7393,floor unitmodify,1
7393,window• build,1
7393,fire exit:•,1
7393,exit:• remove,1
7393,unit exit,1
7394,bath remodel,18
7394,bath remodel,18
7395,structural change,561
7395,site id,477
7395,air sealing,782
7395,site id,477
7396,bathroom remodeling,49
7396,insulation bedroom,1
7396,bedroom wall,13
7397,mobile,13
7397,equipment,5
7397,reference,2
7397,attachment,2
7397,details,2
7397,work involve,3
7397,cell site,10
7398,remove door,18
7398,1 existing,32
7398,1 new,37
7398,exist door,36
7398,new door,98
7398,structural work,326
7399,replace fencing,1
7399,exist fencing,2
7399,new concrete,6
7399,metal fencing,2
7399,grade wood deck,1
7399,new granite paving,1
7399,metal fencing,2
7400,23 bay,1
7400,exist building,66
7400,city,11
7400,cambridge fire department,2
7400,interior fit,16
7400,bay state,1
7400,state road,1
7400,temporary administration,1
7400,administration building,3
7401,kitchen remodel,97
7401,kitchen remodel,97
7402,excavate area,4
7402,depth,2
7402,associate debris,1
7402,excavate area,4
7403,1st floor,343
7403,half bathroom,52
7403,1st floor,343
7403,half bathroom,52
7404,22 feet,1
7404,10 feet,2
7404,10 foot,1
7404,house,109
7405,new wall,68
7405,new door,98
7406,insulation weatherization,24
7407,"7,067 sf",1
7407,fit,17
7407,floor,180
7407,50 cambridgepark dr,1
7407,new tenant,37
7407,mix bar,2
7407,restaurant,6
7407,sf space,2
7407,mix bar,2
7408,staircase,9
7408,new deck board,2
7409,remove gutters,2
7409,exist gutter,6
7409,new aluminum gutter,3
7409,locking bar,1
7410,"1,200 sf",2
7410,"1,200 sf",2
7410,open office,7
